gender,age,marital_status,highest_qualification,nationality,ethnicity,State,gross_income,region,smoke,amt_weekends,amt_weekdays,type
Male,38,Divorced,No Qualification,USA,White,Missouri,"$2,600 to $5,200",The North,No,NA,NA,
Female,42,Single,No Qualification,USA,White,Newyork,"Under $2,600",The North,Yes,12,12,Packets
Male,40,Married,Degree,USA,White,Chicago,"$28,600 to $36,400",The North,No,NA,NA,
Female,40,Married,Degree,USA,White,Ohio,"$10,400 to $15,600",The North,No,NA,NA,
Female,39,Married,GCSE/O Level,USA,White,Missouri,"$2,600 to $5,200",The North,No,NA,NA,
Female,37,Married,GCSE/O Level,USA,White,Newyork,"$15,600 to $20,800",The North,No,NA,NA,
Male,53,Married,Degree,USA,White,Chicago,"Above $36,400",The North,Yes,6,6,Packets
Male,44,Single,Degree,USA,White,Ohio,"$10,400 to $15,600",The North,No,NA,NA,
Male,40,Single,GCSE/CSE,USA,White,Missouri,"$2,600 to $5,200",The North,Yes,8,8,Hand-Rolled
Female,41,Married,No Qualification,USA,White,Newyork,"$5,200 to $10,400",The North,Yes,15,12,Packets
Male,72,Widowed,No Qualification,USA,White,Chicago,"$10,400 to $15,600",The North,No,NA,NA,
Male,49,Married,No Qualification,USA,White,Ohio,Refused,The North,No,NA,NA,
Male,29,Married,Degree,USA,White,Missouri,"Above $36,400",The North,No,NA,NA,
Female,79,Widowed,No Qualification,USA,White,Newyork,"$10,400 to $15,600",The North,No,NA,NA,
Male,25,Single,Degree,USA,White,Chicago,"$15,600 to $20,800",The North,No,NA,NA,
Female,27,Single,Degree,USA,White,Ohio,"$15,600 to $20,800",The North,No,NA,NA,
Female,30,Single,Degree,USA,White,Missouri,"$20,800 to $28,600",The North,No,NA,NA,
Male,47,Divorced,No Qualification,USA,White,Newyork,"$10,400 to $15,600",The North,No,NA,NA,
Female,69,Single,Other/Sub Degree,USA,White,Chicago,"$2,600 to $5,200",The North,No,NA,NA,
Male,55,Married,No Qualification,USA,White,Ohio,"$20,800 to $28,600",The North,No,NA,NA,
Female,34,Married,GCSE/CSE,USA,White,Missouri,"$2,600 to $5,200",The North,Yes,6,12,Packets
Female,36,Married,GCSE/O Level,USA,White,Newyork,"$5,200 to $10,400",The North,Yes,5,2,Packets
Female,56,Married,No Qualification,USA,White,Chicago,"$2,600 to $5,200",The North,Yes,20,20,Packets
Male,71,Divorced,No Qualification,USA,White,Ohio,Unknown,The North,No,NA,NA,
Female,38,Married,No Qualification,USA,White,Missouri,"$5,200 to $10,400",The North,No,NA,NA,
Female,79,Married,No Qualification,USA,White,Newyork,"Under $2,600",The North,No,NA,NA,
Female,58,Divorced,No Qualification,USA,White,Chicago,"$5,200 to $10,400",The North,Yes,25,20,Packets
Female,69,Married,No Qualification,USA,White,Ohio,"Under $2,600",The North,No,NA,NA,
Male,83,Widowed,No Qualification,USA,White,Missouri,"$2,600 to $5,200",The North,No,NA,NA,
Female,73,Widowed,No Qualification,USA,White,Newyork,"$5,200 to $10,400",The North,No,NA,NA,
Female,42,Married,GCSE/O Level,USA,White,Chicago,Refused,The North,Yes,40,15,Packets
Female,31,Married,GCSE/CSE,USA,White,Ohio,"Under $2,600",The North,Yes,15,15,Both/Mainly Packets
Male,26,Single,GCSE/CSE,USA,White,Missouri,"$2,600 to $5,200",The North,No,NA,NA,
Female,27,Separated,Degree,USA,White,Newyork,"$15,600 to $20,800",The North,No,NA,NA,
Female,57,Married,Higher/Sub Degree,USA,White,Chicago,"$10,400 to $15,600",The North,No,NA,NA,
Female,30,Married,ONC/BTEC,USA,White,Ohio,"$2,600 to $5,200",The North,No,NA,NA,
Female,22,Single,A Levels,USA,White,Missouri,"$5,200 to $10,400",The North,No,NA,NA,
Female,78,Widowed,No Qualification,USA,White,Newyork,"Under $2,600",The North,Yes,20,20,Packets
Female,49,Married,ONC/BTEC,USA,Mixed,Chicago,"$15,600 to $20,800",The North,No,NA,NA,
Male,74,Married,Other/Sub Degree,USA,White,Ohio,"$15,600 to $20,800",The North,No,NA,NA,
Male,85,Widowed,Degree,Scottish,White,Missouri,"$20,800 to $28,600",The North,No,NA,NA,
Male,75,Married,Other/Sub Degree,USA,White,Newyork,Refused,The North,No,NA,NA,
Female,80,Widowed,GCSE/O Level,USA,White,Chicago,"$2,600 to $5,200",The North,No,NA,NA,
Female,37,Married,Degree,USA,White,Ohio,"Under $2,600",The North,No,NA,NA,
Female,33,Single,Degree,USA,White,Missouri,"$10,400 to $15,600",The North,No,NA,NA,
Male,41,Divorced,A Levels,USA,White,Newyork,"$15,600 to $20,800",The North,No,NA,NA,
Female,81,Widowed,No Qualification,USA,White,Chicago,"$2,600 to $5,200",The North,No,NA,NA,
Female,76,Widowed,No Qualification,USA,White,Ohio,"$2,600 to $5,200",The North,Yes,6,6,Packets
Female,58,Married,A Levels,USA,White,Missouri,"$10,400 to $15,600",The North,No,NA,NA,
Male,59,Married,Other/Sub Degree,USA,White,Newyork,"$15,600 to $20,800",The North,Yes,25,25,Packets
Female,40,Divorced,GCSE/O Level,USA,White,Chicago,"$5,200 to $10,400",The North,Yes,4,4,Packets
Female,54,Divorced,GCSE/O Level,USA,White,Ohio,"$10,400 to $15,600",The North,No,NA,NA,
Male,49,Married,Degree,Scottish,White,Missouri,"Above $36,400",The North,No,NA,NA,
Female,79,Widowed,No Qualification,USA,White,Newyork,"$5,200 to $10,400",The North,No,NA,NA,
Male,28,Married,Other/Sub Degree,USA,White,Chicago,"$20,800 to $28,600",The North,Yes,20,20,Packets
Male,44,Married,Other/Sub Degree,USA,White,Ohio,"$5,200 to $10,400",The North,No,NA,NA,
Female,42,Single,GCSE/CSE,USA,White,Missouri,"$10,400 to $15,600",The North,No,NA,NA,
Female,36,Single,GCSE/CSE,USA,White,Newyork,"$5,200 to $10,400",The North,No,NA,NA,
Male,89,Widowed,No Qualification,USA,White,Chicago,"$5,200 to $10,400",The North,No,NA,NA,
Female,64,Married,No Qualification,USA,White,Ohio,"$2,600 to $5,200",The North,No,NA,NA,
Female,76,Married,No Qualification,USA,White,Missouri,"Under $2,600",The North,No,NA,NA,
Female,76,Married,No Qualification,USA,White,Newyork,"Under $2,600",The North,No,NA,NA,
Female,61,Married,No Qualification,USA,White,Chicago,"$2,600 to $5,200",The North,No,NA,NA,
Female,81,Widowed,GCSE/O Level,USA,White,Ohio,"$5,200 to $10,400",The North,No,NA,NA,
Female,20,Single,No Qualification,USA,White,Missouri,"$2,600 to $5,200",The North,Yes,20,10,Packets
Female,82,Widowed,No Qualification,USA,White,Newyork,"$5,200 to $10,400",The North,No,NA,NA,
Female,23,Single,GCSE/O Level,USA,White,Chicago,"$5,200 to $10,400",The North,Yes,20,10,Packets
Male,41,Married,GCSE/O Level,USA,White,Ohio,"Above $36,400",The North,No,NA,NA,
Female,31,Single,A Levels,USA,White,Missouri,"$15,600 to $20,800",The North,No,NA,NA,
Female,44,Married,A Levels,USA,White,Newyork,"$20,800 to $28,600",The North,Yes,5,0,Packets
Female,42,Married,Degree,Scottish,White,Chicago,"$10,400 to $15,600",The North,No,NA,NA,
Male,67,Widowed,No Qualification,USA,White,Ohio,"$5,200 to $10,400",The North,Yes,20,20,Packets
Male,53,Married,Degree,USA,White,Missouri,"$20,800 to $28,600",The North,No,NA,NA,
Male,76,Married,No Qualification,USA,Black,Newyork,"$10,400 to $15,600",The North,No,NA,NA,
Male,40,Married,Other/Sub Degree,USA,White,Chicago,"$2,600 to $5,200",The North,Yes,30,30,Hand-Rolled
Male,44,Married,A Levels,USA,White,Ohio,"$15,600 to $20,800",The North,No,NA,NA,
Female,31,Separated,GCSE/O Level,USA,White,Missouri,"$15,600 to $20,800",The North,Yes,20,20,Packets
Male,43,Divorced,Other/Sub Degree,USA,White,Newyork,"$2,600 to $5,200",The North,Yes,20,20,Hand-Rolled
Female,36,Separated,A Levels,USA,White,Chicago,"$10,400 to $15,600",The North,No,NA,NA,
Female,34,Divorced,GCSE/O Level,USA,Black,Ohio,"$10,400 to $15,600",The North,No,NA,NA,
Female,18,Single,GCSE/O Level,USA,Black,Missouri,"$2,600 to $5,200",The North,Yes,10,3,Packets
Male,56,Married,No Qualification,USA,Black,Newyork,"$5,200 to $10,400",The North,No,NA,NA,
Female,73,Married,No Qualification,USA,Black,Chicago,"Under $2,600",The North,No,NA,NA,
Female,22,Single,GCSE/CSE,USA,Black,Ohio,"$2,600 to $5,200",The North,Yes,20,20,Packets
Female,33,Single,GCSE/CSE,USA,Black,Missouri,"$15,600 to $20,800",The North,No,NA,NA,
Male,27,Single,ONC/BTEC,USA,Black,Newyork,"$15,600 to $20,800",The North,Yes,10,0,Packets
Female,33,Married,GCSE/O Level,USA,Black,Chicago,"$10,400 to $15,600",The North,No,NA,NA,
Female,63,Married,No Qualification,USA,Black,Ohio,"Under $2,600",The North,No,NA,NA,
Female,64,Married,A Levels,USA,White,Missouri,"$2,600 to $5,200",The North,No,NA,NA,
Male,54,Married,Degree,USA,White,Newyork,"Above $36,400",The North,No,NA,NA,
Female,34,Married,Degree,USA,White,Chicago,"Under $2,600",The North,No,NA,NA,
Male,78,Married,No Qualification,USA,White,Ohio,"$10,400 to $15,600",The North,No,NA,NA,
Female,54,Married,No Qualification,USA,White,Missouri,"Under $2,600",The North,No,NA,NA,
Male,56,Separated,GCSE/CSE,USA,White,Newyork,"$28,600 to $36,400",The North,No,NA,NA,
Male,78,Widowed,No Qualification,USA,White,Chicago,"$2,600 to $5,200",The North,No,NA,NA,
Female,37,Married,A Levels,USA,White,Ohio,"$5,200 to $10,400",The North,No,NA,NA,
Male,54,Married,Degree,USA,White,Missouri,"$28,600 to $36,400",The North,No,NA,NA,
Female,40,Married,GCSE/O Level,USA,White,Newyork,"$20,800 to $28,600",The North,Yes,15,15,Hand-Rolled
Female,64,Divorced,No Qualification,USA,White,Chicago,"$2,600 to $5,200",The North,No,NA,NA,
Female,42,Married,GCSE/O Level,Other,White,Ohio,"$5,200 to $10,400",The North,No,NA,NA,
Female,34,Married,Higher/Sub Degree,USA,White,Missouri,"$2,600 to $5,200",The North,No,NA,NA,
Female,64,Married,No Qualification,USA,White,Newyork,"Under $2,600",The North,No,NA,NA,
Female,50,Divorced,Other/Sub Degree,USA,White,Chicago,"$15,600 to $20,800",The North,No,NA,NA,
Female,31,Married,ONC/BTEC,USA,White,Ohio,"$10,400 to $15,600",The North,No,NA,NA,
Female,37,Married,Degree,USA,White,Missouri,"Above $36,400",The North,No,NA,NA,
Male,81,Married,Degree,USA,White,Newyork,"$10,400 to $15,600",The North,No,NA,NA,
Male,57,Separated,No Qualification,Welsh,White,Chicago,"$5,200 to $10,400",The North,Yes,10,10,Hand-Rolled
Female,59,Married,Higher/Sub Degree,USA,White,Ohio,"$2,600 to $5,200",The North,No,NA,NA,
Male,66,Married,Degree,USA,White,Missouri,"$20,800 to $28,600",The North,No,NA,NA,
