userName,Before,During,pctChange
Drew.Marco,12,19,0.5833333333333334
amit.bhagat,17,30,0.7647058823529411
andrea.bryant.amitechsolutions,5,3,-0.4
angie.warren,5,9,0.8
chris.rogers.amitechsolutions,4,3,-0.25
eric.keeney,15,27,0.8
eric.rodman,4,12,2.0
jeff.hatfield.amitechsolutions,13,26,1.0
jennifer.patton.amitechs,5,7,0.4
jessica.sikora,3,7,1.3333333333333333
matt.allsup,5,0,-1.0
matt.brown.amitechsolutions,1,2,1.0
melissa.menne,10,9,-0.1
michael.demos,5,11,1.2
paul.boal,15,35,1.3333333333333333
paul.smith.amitechsolutions,23,10,-0.5652173913043478
pete.cornwell,1,9,8.0
raghavender.tuniki,6,2,-0.6666666666666666
sandip.shaw,9,2,-0.7777777777777778
santhosh.kanala,2,6,2.0
shawn.reilly.amitechsolutions,7,10,0.42857142857142855
tejus.maduskar,12,39,2.25
